1.260000 1.260000 17295.825127 0.310185 166086.917258 1.096894 2333697000000000000.000000 2333697000000000000.000000 4.877962 -0.302870 -0.275761 1.375954 -0.310388 -0.286279 1.367051 8.028742 7.642252 5022.172368 0.636963 2 SN1 SN2 
1.305760 1.107936 7.245512 0.836664 1.455077 1.046382 1902.911640 1869.299000 4.216816 -0.230460 0.014509 0.067598 3.994795 12.546620 -8.825375 9.987136 9.188510 523.598678 0.583450 7 MT1(2-1) MT1(3-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.321340 1.107936 1.493818 0.514607 0.135779 1.052500 108.826494 70.293300 10.555780 -0.067078 -0.026876 0.001487 -13.606348 0.042388 -4.652631 10.262128 7.618018 64.389655 0.041775 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.328090 1.107936 1.357358 0.334174 0.117442 1.055137 130.115937 92.876330 5.644094 -0.011415 0.072604 0.044460 -10.036078 9.096718 -3.240986 9.629755 8.500633 63.472036 0.003455 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.324277 1.107936 14.256071 0.873473 4.000578 1.053649 12480.447581 12446.650000 8.185059 0.426939 -0.193185 -0.103363 2.531341 6.825295 -2.792750 10.741352 8.477341 322.235721 0.671206 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 118137.606914 0.821269 2964870.641243 1.096894 151700800000000000000.000000 151700800000000000000.000000 4.472411 -0.443197 -0.891890 -0.060054 -0.437624 -0.893799 -0.059950 7.988851 7.640850 6243.938160 0.101168 2 SN1 SN2 
1.260000 1.260000 57797.033060 0.924978 1014569.525547 1.096894 570565800000000064.000000 570565800000000000.000000 0.015695 -1.199212 -0.878664 1.459276 -0.621016 -0.736007 1.368380 8.155480 8.153847 1610.150866 0.485082 2 SN1 SN2 
1.312899 1.107936 111.514343 0.962517 87.727813 1.049191 931675.912663 931643.900000 6.208781 0.298383 -0.075336 0.218629 5.315666 -15.478719 2.353619 10.697793 9.061765 158.197607 0.035244 6 MT1(2-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.319546 1.107936 3.289885 0.565947 0.443932 1.051798 1290.635472 1260.432000 2.511324 -0.169247 0.098051 -0.185848 12.849172 -1.139922 -7.183154 10.303405 10.033369 232.953960 0.145901 7 MT1(2-1) MT1(3-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.330630 1.107936 2.059294 0.380569 0.219348 1.056127 461.254281 428.247200 6.462312 0.226543 0.385476 0.073495 -4.799247 -1.693080 -16.687470 10.544488 8.857492 163.001311 0.418653 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.165100 1.107936 0.898026 0.389162 0.065426 0.989021 56.397819 18.458140 13.235320 -0.394463 0.075284 0.977716 -8.754292 -7.031472 5.449678 10.959872 7.282884 117.437718 0.243046 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 85458.471102 0.551622 1824131.630137 1.096894 552002599999999967232.000000 552002599999999967232.000000 4.103469 -0.105673 0.658437 0.159696 -0.104618 0.655069 0.158424 7.933613 7.622475 9743.654287 0.124182 2 SN1 SN2 
1.260000 1.260000 27173.286557 0.052404 327067.016128 1.096894 20301750000000000000.000000 20301750000000000000.000000 2.245800 -0.901658 1.405020 -0.401178 -0.910590 1.397192 -0.408002 7.860369 7.693680 2823.005810 0.601895 2 SN1 SN2 
1.287279 1.107936 11.003152 0.854954 2.733551 1.039067 7091.419904 7053.738000 11.147330 -0.150648 -0.126119 -0.326010 -4.378409 -1.558286 -12.511470 10.536214 7.679022 649.484873 0.735254 6 MT1(2-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
